order_id,product_id,quantity,product_name,category,price,customer_id,order_date,region,customer_name,city,signup_date,revenue,order_year,order_month,order_weekday,customer_tenure,order_total,order_quantity,order_size_category,total_spent,order_count,avg_order_value,unique_products,categories_bought,archetype,projected_clv
O0837,P008,4,Product_8,Sports,14303.0,C091,2025-05-10,East,Customer_91,Hyderabad,2024-01-01,57212.0,2025.0,5.0,Saturday,907,364472.0,10,,2965810.0,9,118632.4,21,5,High‑Value Regulars,2425420.28
O0711,P009,4,Product_9,Furniture,13842.0,C193,2025-08-17,East,Customer_193,Bangalore,2024-12-23,55368.0,2025.0,8.0,Sunday,550,204558.0,12,,875394.0,4,97266.0,9,4,New or Inactive,728920.2033898305
O0073,P015,4,Product_15,Electronics,22359.0,C120,2025-03-26,South,Customer_120,Pune,2024-03-10,89436.0,2025.0,3.0,Wednesday,838,344558.0,13,,1109779.0,5,73985.26666666666,14,5,Explorers,1159932.0363636364
O0092,P047,1,Product_47,Clothing,54015.0,C043,2025-07-08,Central,Customer_43,Delhi,2025-09-15,54015.0,2025.0,7.0,Tuesday,284,439957.0,10,,2207341.0,6,100333.68181818182,17,5,Loyal Spenders,2089813.5238095238
O0106,P021,3,Product_21,Electronics,58375.0,C118,2025-11-22,South,Customer_118,Delhi,2025-12-25,175125.0,2025.0,11.0,Saturday,183,322715.0,14,,1144215.0,5,95351.25,10,5,Explorers,1159932.0363636364
O0903,P020,2,Product_20,Electronics,7831.0,C052,2025-12-22,West,Customer_52,Mumbai,2024-11-19,15662.0,2025.0,12.0,Monday,584,56482.0,6,Large,776366.0,4,70578.72727272728,11,5,Explorers,1159932.0363636364
O0392,P050,2,Product_50,Clothing,15109.0,C144,2025-09-14,East,Customer_144,Chennai,2024-09-12,30218.0,2025.0,9.0,Sunday,652,324385.0,11,,2530462.0,7,126523.1,16,5,High‑Value Regulars,2425420.28
O0657,P044,2,Product_44,Electronics,25570.0,C036,2025-12-28,Central,Customer_36,Indore,2024-10-11,51140.0,2025.0,12.0,Sunday,623,102187.0,5,Large,3480698.0,10,91597.31578947368,23,5,High‑Value Regulars,2425420.28
O0071,P034,5,Product_34,Home & Kitchen,41175.0,C008,2025-09-06,West,Customer_8,Mumbai,2024-04-05,205875.0,2025.0,9.0,Saturday,812,205875.0,5,Large,1284453.0,6,107037.75,9,4,New or Inactive,728920.2033898305
O0009,P040,2,Product_40,Furniture,51774.0,C112,2025-11-02,East,Customer_112,Delhi,2024-09-10,103548.0,2025.0,11.0,Sunday,654,180898.0,4,Medium,1762004.0,6,103647.29411764706,14,5,Loyal Spenders,2089813.5238095238
O0451,P023,2,Product_23,Electronics,55196.0,C080,2025-07-05,South,Customer_80,Ahmedabad,2024-04-24,110392.0,2025.0,7.0,Saturday,793,410772.0,8,Large,2735809.0,9,130276.61904761905,15,5,High‑Value Regulars,2425420.28
O0644,P048,2,Product_48,Home & Kitchen,23415.0,C162,2025-12-19,North,Customer_162,Mumbai,2025-08-16,46830.0,2025.0,12.0,Friday,314,70323.0,5,Large,1536129.0,5,90360.5294117647,13,5,Explorers,1159932.0363636364
O0942,P027,5,Product_27,Electronics,20702.0,C182,2025-01-23,North,Customer_182,Lucknow,2024-11-17,103510.0,2025.0,1.0,Thursday,586,421550.0,15,,1568846.0,4,120680.46153846153,12,5,Explorers,1159932.0363636364
O0704,P029,2,Product_29,Electronics,59411.0,C146,2025-06-01,South,Customer_146,Hyderabad,2024-04-10,118822.0,2025.0,6.0,Sunday,807,535736.0,13,,1915510.0,6,87068.63636363637,16,5,Loyal Spenders,2089813.5238095238
O0089,P007,2,Product_7,Furniture,18965.0,C033,2025-05-03,West,Customer_33,Bhopal,2024-08-21,37930.0,2025.0,5.0,Saturday,674,658028.0,17,,1793864.0,4,149488.66666666666,12,4,Loyal Spenders,2089813.5238095238
O0771,P008,5,Product_8,Sports,14303.0,C083,2025-12-11,South,Customer_83,Mumbai,2024-09-26,71515.0,2025.0,12.0,Thursday,638,408664.0,16,,1801288.0,7,94804.63157894737,15,5,High‑Value Regulars,2425420.28
O0748,P025,3,Product_25,Sports,10205.0,C098,2025-07-11,West,Customer_98,Delhi,2025-05-12,30615.0,2025.0,7.0,Friday,410,133304.0,8,Large,1507433.0,7,94214.5625,14,5,Frequent but Low‑Value,1457817.2857142857
O0987,P028,3,Product_28,Furniture,59415.0,C191,2025-10-17,West,Customer_191,Hyderabad,2024-08-06,178245.0,2025.0,10.0,Friday,689,741325.0,17,,1863042.0,5,103502.33333333333,14,4,Occasional Buyers,985968.4242424242
O0811,P009,2,Product_9,Furniture,13842.0,C040,2025-06-01,South,Customer_40,Pune,2025-11-17,27684.0,2025.0,6.0,Sunday,221,307228.0,8,Large,2026075.0,7,92094.31818181818,19,5,High‑Value Regulars,2425420.28
O0284,P042,1,Product_42,Clothing,17985.0,C094,2025-10-13,North,Customer_94,Delhi,2025-01-06,17985.0,2025.0,10.0,Monday,536,334910.0,10,,1193400.0,6,70200.0,14,4,New or Inactive,728920.2033898305
O0255,P036,5,Product_36,Clothing,52921.0,C066,2025-08-24,North,Customer_66,Pune,2024-05-21,264605.0,2025.0,8.0,Sunday,766,448480.0,10,,1332184.0,5,88812.26666666666,13,5,Explorers,1159932.0363636364
O0615,P047,5,Product_47,Clothing,54015.0,C013,2025-01-25,East,Customer_13,Lucknow,2025-07-12,270075.0,2025.0,1.0,Saturday,349,661344.0,17,,1771147.0,5,93218.26315789473,15,5,Loyal Spenders,2089813.5238095238
O0292,P050,1,Product_50,Clothing,15109.0,C166,2025-04-24,North,Customer_166,Kolkata,2025-05-03,15109.0,2025.0,4.0,Thursday,419,643271.0,17,,2093204.0,7,80507.84615384616,21,5,High‑Value Regulars,2425420.28
O0869,P043,3,Product_43,Clothing,52101.0,C142,2025-07-02,West,Customer_142,Bangalore,2025-03-08,156303.0,2025.0,7.0,Wednesday,475,504829.0,10,,3603752.0,10,112617.25,23,5,High‑Value Regulars,2425420.28
O0211,P034,5,Product_34,Home & Kitchen,41175.0,C184,2025-09-13,East,Customer_184,Indore,2024-05-14,205875.0,2025.0,9.0,Saturday,773,536066.0,11,,933017.0,3,103668.55555555556,9,4,New or Inactive,728920.2033898305
O0522,P013,4,Product_13,Home & Kitchen,54852.0,C095,2025-03-05,West,Customer_95,Jaipur,2024-09-02,219408.0,2025.0,3.0,Wednesday,662,219408.0,4,Medium,1297536.0,5,92681.14285714286,12,5,Explorers,1159932.0363636364
O0303,P042,1,Product_42,Clothing,17985.0,C009,2025-05-24,East,Customer_9,Pune,2024-08-26,17985.0,2025.0,5.0,Saturday,669,98995.0,6,Large,1674473.0,5,98498.41176470589,15,5,Explorers,1159932.0363636364
O0803,P016,4,Product_16,Clothing,42253.0,C067,2025-06-07,East,Customer_67,Hyderabad,2025-05-20,169012.0,2025.0,6.0,Saturday,402,648435.0,17,,1410792.0,3,128253.81818181818,9,5,Explorers,1159932.0363636364
O0396,P008,2,Product_8,Sports,14303.0,C147,2025-08-08,West,Customer_147,Mumbai,2025-10-29,28606.0,2025.0,8.0,Friday,240,266250.0,6,Large,1569265.0,7,98079.0625,11,5,Frequent but Low‑Value,1457817.2857142857
O0512,P041,5,Product_41,Home & Kitchen,53075.0,C119,2025-12-17,West,Customer_119,Bhopal,2024-03-01,265375.0,2025.0,12.0,Wednesday,847,452949.0,16,,2018284.0,9,80731.36,18,5,High‑Value Regulars,2425420.28
O0073,P034,1,Product_34,Home & Kitchen,41175.0,C120,2025-03-26,South,Customer_120,Pune,2024-03-10,41175.0,2025.0,3.0,Wednesday,838,344558.0,13,,1109779.0,5,73985.26666666666,14,5,Explorers,1159932.0363636364
O0370,P021,2,Product_21,Electronics,58375.0,C192,2025-02-16,Central,Customer_192,Hyderabad,2024-09-28,116750.0,2025.0,2.0,Sunday,636,626718.0,12,,3130191.0,9,104339.7,25,5,High‑Value Regulars,2425420.28
O0397,P037,4,Product_37,Clothing,58264.0,C164,2025-12-30,West,Customer_164,Mumbai,2024-11-17,233056.0,2025.0,12.0,Tuesday,586,554380.0,13,,3230728.0,7,119656.5925925926,21,5,High‑Value Regulars,2425420.28
O0375,P035,2,Product_35,Clothing,16014.0,C040,2025-01-27,South,Customer_40,Pune,2025-11-17,32028.0,2025.0,1.0,Monday,221,99898.0,8,Large,2026075.0,7,92094.31818181818,19,5,High‑Value Regulars,2425420.28
O0782,P031,1,Product_31,Clothing,44208.0,C062,2025-08-31,South,Customer_62,Hyderabad,2024-09-26,44208.0,2025.0,8.0,Sunday,638,250650.0,8,Large,2280043.0,8,99132.30434782608,14,5,High‑Value Regulars,2425420.28
O0018,P038,1,Product_38,Home & Kitchen,2124.0,C170,2025-06-10,North,Customer_170,Bangalore,2024-03-11,2124.0,2025.0,6.0,Tuesday,837,24302.0,3,Medium,1336482.0,9,89098.8,13,5,Frequent but Low‑Value,1457817.2857142857
O0015,P017,2,Product_17,Furniture,11089.0,C185,2025-12-18,South,Customer_185,Bhopal,2025-10-22,22178.0,2025.0,12.0,Thursday,247,320171.0,12,,1025555.0,5,85462.91666666667,11,4,New or Inactive,728920.2033898305
O0041,P004,4,Product_4,Electronics,58808.0,C103,2025-09-11,South,Customer_103,Jaipur,2025-06-24,235232.0,2025.0,9.0,Thursday,367,717846.0,17,,2099535.0,5,110501.84210526316,16,4,Occasional Buyers,985968.4242424242
O0519,P019,5,Product_19,Home & Kitchen,37259.0,C010,2025-05-10,South,Customer_10,Hyderabad,2025-09-08,186295.0,2025.0,5.0,Saturday,291,186295.0,5,Large,1674314.0,6,128793.38461538461,12,5,Explorers,1159932.0363636364
O0786,P027,4,Product_27,Electronics,20702.0,C035,2025-09-29,West,Customer_35,Pune,2024-04-13,82808.0,2025.0,9.0,Monday,804,294595.0,13,,735878.0,4,81764.22222222222,9,4,New or Inactive,728920.2033898305
O0719,P026,1,Product_26,Home & Kitchen,8852.0,C031,2025-12-20,East,Customer_31,Pune,2025-12-22,8852.0,2025.0,12.0,Saturday,186,111755.0,7,Large,644926.0,4,53743.833333333336,12,5,Explorers,1159932.0363636364
O0656,P035,5,Product_35,Clothing,16014.0,C189,2025-08-30,North,Customer_189,Kolkata,2025-07-30,80070.0,2025.0,8.0,Saturday,331,494927.0,16,,2269372.0,5,113468.6,19,5,Loyal Spenders,2089813.5238095238
O0631,P010,3,Product_10,Furniture,33622.0,C129,2025-07-25,North,Customer_129,Indore,2024-07-13,100866.0,2025.0,7.0,Friday,713,216962.0,5,Large,1970024.0,7,103685.47368421052,16,4,Loyal Spenders,2089813.5238095238
O0086,P020,1,Product_20,Electronics,7831.0,C018,2025-11-29,North,Customer_18,Indore,2024-12-14,7831.0,2025.0,11.0,Saturday,559,209788.0,6,Large,1804969.0,5,106174.64705882352,14,4,Occasional Buyers,985968.4242424242
O0524,P014,2,Product_14,Furniture,3389.0,C087,2025-07-17,South,Customer_87,Bhopal,2025-06-03,6778.0,2025.0,7.0,Thursday,388,236389.0,7,Large,1958833.0,5,130588.86666666667,12,4,Loyal Spenders,2089813.5238095238
O0550,P021,4,Product_21,Electronics,58375.0,C128,2025-04-06,Central,Customer_128,Pune,2025-04-29,233500.0,2025.0,4.0,Sunday,423,242352.0,5,Large,558218.0,3,93036.33333333333,5,3,New or Inactive,728920.2033898305
O0601,P041,1,Product_41,Home & Kitchen,53075.0,C034,2025-07-24,East,Customer_34,Jaipur,2024-03-22,53075.0,2025.0,7.0,Thursday,826,467899.0,13,,1426002.0,5,79222.33333333333,14,5,Explorers,1159932.0363636364
O0318,P045,4,Product_45,Electronics,56768.0,C045,2025-05-09,North,Customer_45,Hyderabad,2024-09-07,227072.0,2025.0,5.0,Friday,657,726239.0,15,,1653513.0,4,127193.30769230769,12,4,Occasional Buyers,985968.4242424242
O0748,P016,1,Product_16,Clothing,42253.0,C098,2025-07-11,West,Customer_98,Delhi,2025-05-12,42253.0,2025.0,7.0,Friday,410,133304.0,8,Large,1507433.0,7,94214.5625,14,5,Frequent but Low‑Value,1457817.2857142857
O0251,P006,4,Product_6,Sports,10687.0,C098,2025-11-09,Central,Customer_98,Delhi,2025-05-12,42748.0,2025.0,11.0,Sunday,410,114076.0,8,Large,1507433.0,7,94214.5625,14,5,Frequent but Low‑Value,1457817.2857142857
O0119,P030,5,Product_30,Furniture,14267.0,C071,2025-12-26,Central,Customer_71,Bhopal,2025-03-08,71335.0,2025.0,12.0,Friday,475,131695.0,8,Large,1320433.0,6,94316.64285714286,12,5,Explorers,1159932.0363636364
O0624,P004,3,Product_4,Electronics,58808.0,C130,2025-07-17,West,Customer_130,Delhi,2024-04-09,176424.0,2025.0,7.0,Thursday,808,786610.0,21,,2263853.0,10,87071.26923076923,21,5,High‑Value Regulars,2425420.28
O0683,P048,2,Product_48,Home & Kitchen,23415.0,C184,2025-06-19,West,Customer_184,Indore,2024-05-14,46830.0,2025.0,6.0,Thursday,773,290325.0,12,,933017.0,3,103668.55555555556,9,4,New or Inactive,728920.2033898305
O0123,P001,2,Product_1,Sports,20120.0,C122,2025-12-20,West,Customer_122,Delhi,2025-06-10,40240.0,2025.0,12.0,Saturday,381,329961.0,15,,701124.0,4,70112.4,10,4,New or Inactive,728920.2033898305
O0719,P001,2,Product_1,Sports,20120.0,C031,2025-12-20,East,Customer_31,Pune,2025-12-22,40240.0,2025.0,12.0,Saturday,186,111755.0,7,Large,644926.0,4,53743.833333333336,12,5,Explorers,1159932.0363636364
O0509,P023,5,Product_23,Electronics,55196.0,C189,2025-10-25,East,Customer_189,Kolkata,2025-07-30,275980.0,2025.0,10.0,Saturday,331,759341.0,18,,2269372.0,5,113468.6,19,5,Loyal Spenders,2089813.5238095238
O0530,P047,3,Product_47,Clothing,54015.0,C027,2025-06-14,North,Customer_27,Indore,2024-03-21,162045.0,2025.0,6.0,Saturday,827,494175.0,12,,2543536.0,6,141307.55555555556,16,5,Loyal Spenders,2089813.5238095238
O0171,P024,2,Product_24,Furniture,38675.0,C030,2025-08-06,Central,Customer_30,Ahmedabad,2025-08-14,77350.0,2025.0,8.0,Wednesday,316,232672.0,5,Large,2821245.0,10,122662.82608695653,22,5,High‑Value Regulars,2425420.28
O0768,P050,3,Product_50,Clothing,15109.0,C129,2025-03-13,East,Customer_129,Indore,2024-07-13,45327.0,2025.0,3.0,Thursday,713,84482.0,8,Large,1970024.0,7,103685.47368421052,16,4,Loyal Spenders,2089813.5238095238
O0751,P008,1,Product_8,Sports,14303.0,C168,2025-03-10,East,Customer_168,Bangalore,2024-02-28,14303.0,2025.0,3.0,Monday,849,120849.0,5,Large,687204.0,4,85900.5,8,5,Explorers,1159932.0363636364
O0344,P028,3,Product_28,Furniture,59415.0,C103,2025-08-21,West,Customer_103,Jaipur,2025-06-24,178245.0,2025.0,8.0,Thursday,367,533982.0,11,,2099535.0,5,110501.84210526316,16,4,Occasional Buyers,985968.4242424242
O0537,P005,3,Product_5,Electronics,49155.0,C172,2025-02-08,West,Customer_172,Bhopal,2024-08-28,147465.0,2025.0,2.0,Saturday,667,407067.0,12,,1588890.0,6,93464.11764705883,13,4,New or Inactive,728920.2033898305
O0730,P037,1,Product_37,Clothing,58264.0,C141,2025-02-01,Central,Customer_141,Hyderabad,2025-04-04,58264.0,2025.0,2.0,Saturday,448,331742.0,8,Large,886077.0,5,68159.76923076923,11,5,Explorers,1159932.0363636364
O0509,P030,5,Product_30,Furniture,14267.0,C189,2025-10-25,East,Customer_189,Kolkata,2025-07-30,71335.0,2025.0,10.0,Saturday,331,759341.0,18,,2269372.0,5,113468.6,19,5,Loyal Spenders,2089813.5238095238
O0369,P004,4,Product_4,Electronics,58808.0,C190,2025-03-14,North,Customer_190,Delhi,2024-03-16,235232.0,2025.0,3.0,Friday,832,532961.0,10,,1669156.0,6,111277.06666666667,13,4,Occasional Buyers,985968.4242424242
O0880,P037,2,Product_37,Clothing,58264.0,C143,2025-08-18,Central,Customer_143,Bangalore,2024-10-12,116528.0,2025.0,8.0,Monday,622,279350.0,5,Large,964378.0,3,107153.11111111111,8,5,Explorers,1159932.0363636364
O0377,P011,3,Product_11,Home & Kitchen,36654.0,C114,2025-05-20,West,Customer_114,Ahmedabad,2024-01-22,109962.0,2025.0,5.0,Tuesday,886,136154.0,7,Large,1757867.0,7,97659.27777777778,17,5,High‑Value Regulars,2425420.28
O0792,P007,5,Product_7,Furniture,18965.0,C155,2025-12-11,Central,Customer_155,Indore,2024-09-28,94825.0,2025.0,12.0,Thursday,636,329361.0,9,Large,1423907.0,4,109531.30769230769,12,4,New or Inactive,728920.2033898305
O0691,P047,1,Product_47,Clothing,54015.0,C190,2025-10-01,North,Customer_190,Delhi,2024-03-16,54015.0,2025.0,10.0,Wednesday,832,171090.0,6,Large,1669156.0,6,111277.06666666667,13,4,Occasional Buyers,985968.4242424242
O0234,P048,5,Product_48,Home & Kitchen,23415.0,C105,2025-03-15,South,Customer_105,Pune,2025-07-06,117075.0,2025.0,3.0,Saturday,355,182495.0,8,Large,1223584.0,7,94121.84615384616,12,5,Frequent but Low‑Value,1457817.2857142857
